code=0 c=111111
code=1 c=121111
code=2 c=131111
code=3 c=112111
code=4 c=122111
code=5 c=132111
code=6 c=113111
code=7 c=123111
code=8 c=133111
code=9 c=111211
code=10 c=121211
code=11 c=131211
code=12 c=112211
code=13 c=122211
code=14 c=132211
code=15 c=113211
code=16 c=123211
code=17 c=133211
code=18 c=111311
code=19 c=121311
code=20 c=131311
code=21 c=112311
code=22 c=122311
code=23 c=132311
code=24 c=113311
code=25 c=123311
code=26 c=133311
code=27 c=111121
code=28 c=121121
code=29 c=131121
code=39 c=112221
code=40 c=122221
code=41 c=132221
code=54 c=111131
code=55 c=121131
code=56 c=131131
code=81 c=111112
code=82 c=121112
code=83 c=131112
code=93 c=112212
code=94 c=122212
code=95 c=132212
code=108 c=111122
code=109 c=121122
code=110 c=131122
code=111 c=112122
code=112 c=122122
code=113 c=132122
code=117 c=111222
code=118 c=121222
code=119 c=131222
code=120 c=112222
code=121 c=122222
code=122 c=132222
code=135 c=111132
code=136 c=121132
code=137 c=131132
code=162 c=111113
code=163 c=121113
code=164 c=131113
code=189 c=111123
code=190 c=121123
code=191 c=131123
code=216 c=111133
code=217 c=121133
code=218 c=131133
neg=66 Bsizes 0:1 1:10 2:24 3:20 4:9 5:2 both 0:24 1:28 2:12 3:2
